,continent,2,3,4,5,6,7,8,9,10,,,,1,2,3,1,1,2,2,3,3,,,,,,,
1,Africa,0.329418336,0.189449665,0.146501217,0.346805095,0.312031577,0.201152216,0.177747114,0.155759962,0.137242472, - ,(,),0.329,0.189,0.147,0.347,0.312,0.201,0.178,0.156,0.137,,0.329,(0.312 - 0.347),0.189,(0.178 - 0.201),0.147,(0.137 - 0.156)
2,Asia,-0.008629139,-0.010753607,-0.00797186,-0.006998017,-0.010260261,-0.009184676,-0.012322537,-0.006973654,-0.008970066, - ,(,),-0.009,-0.011,-0.008,-0.007,-0.010,-0.009,-0.012,-0.007,-0.009,,-0.009,(-0.010 - -0.007),-0.011,(-0.012 - -0.009),-0.008,(-0.009 - -0.007)
3,Europe,-0.001422677,-0.003227043,-0.010597576,-0.000449095,-0.002396258,-0.001911384,-0.004542701,-0.00608808,-0.015107071, - ,(,),-0.001,-0.003,-0.011,0.000,-0.002,-0.002,-0.005,-0.006,-0.015,,-0.001,(-0.002 - 0.000),-0.003,(-0.005 - -0.002),-0.011,(-0.015 - -0.006)
4,North America,8.36E-05,9.16E-05,-0.000132297,0.000133307,3.39E-05,0.000196827,-1.35E-05,-5.55E-05,-0.000209135, - ,(,),0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,(0.000 - 0.000),0.000,(0.000 - 0.000),0.000,(0.000 - 0.000)
5,Oceania,-0.000726006,-0.002054024,-0.001624529,0.000210998,-0.00166301,8.01E-06,-0.004116059,-0.000342328,-0.00290673, - ,(,),-0.001,-0.002,-0.002,0.000,-0.002,0.000,-0.004,0.000,-0.003,,-0.001,(-0.002 - 0.000),-0.002,(-0.004 - 0.000),-0.002,(-0.003 - 0.000)
6,South America,6.12E-05,-0.000564428,-0.000853322,0.000196873,-7.45E-05,-0.000361689,-0.000767167,-0.000645219,-0.001061424, - ,(,),0.000,-0.001,-0.001,0.000,0.000,0.000,-0.001,-0.001,-0.001,,0.000,(0.000 - 0.000),-0.001,(-0.001 - 0.000),-0.001,(-0.001 - -0.001)
7,Africa,-0.362492319,-1.209672481,-1.279236759,-0.341551838,-0.3834328,-1.142377836,-1.276967127,-1.200794309,-1.357679209, - ,(,),-0.362,-1.210,-1.279,-0.342,-0.383,-1.142,-1.277,-1.201,-1.358,,-0.362,(-0.383 - -0.342),-1.210,(-1.277 - -1.142),-1.279,(-1.358 - -1.201)
8,Asia,-0.016317054,-0.036181765,-0.024760194,-0.014759472,-0.017874636,-0.032976075,-0.039387454,-0.018470915,-0.031049472, - ,(,),-0.016,-0.036,-0.025,-0.015,-0.018,-0.033,-0.039,-0.018,-0.031,,-0.016,(-0.018 - -0.015),-0.036,(-0.039 - -0.033),-0.025,(-0.031 - -0.018)
9,Europe,-0.030685105,-0.073974099,-0.087603475,-0.017151396,-0.044218814,-0.042191144,-0.105757055,-0.04770511,-0.127501839, - ,(,),-0.031,-0.074,-0.088,-0.017,-0.044,-0.042,-0.106,-0.048,-0.128,,-0.031,(-0.044 - -0.017),-0.074,(-0.106 - -0.042),-0.088,(-0.128 - -0.048)
