,continent,predictPfPR.245.126_mean,predictPfPR.460.126_mean,predictPfPR.585.126_mean,predictPfPR.245.126_mean,predictPfPR.245.126_mean,predictPfPR.460.126_mean,predictPfPR.460.126_mean,predictPfPR.585.126_mean,predictPfPR.585.126_mean,,,,,,,,,
1,Africa,0.409%,0.258%,0.139%,0.418%,0.400%,0.265%,0.251%,0.146%,0.132%,-,0.418%,0.400%,0.265%,0.251%,0.146%,0.132%,(,)
2,Asia,0.003%,0.000%,-0.005%,0.003%,0.002%,0.001%,0.000%,-0.005%,-0.006%,-,0.003%,0.002%,0.001%,0.000%,-0.005%,-0.006%,(,)
3,Europe,-0.076%,-0.115%,-0.300%,-0.063%,-0.090%,-0.103%,-0.127%,-0.276%,-0.324%,-,-0.063%,-0.090%,-0.103%,-0.127%,-0.276%,-0.324%,(,)
4,North America,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,-,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,(,)
5,Oceania,0.002%,0.009%,-0.023%,0.007%,-0.002%,0.018%,0.001%,-0.017%,-0.030%,-,0.007%,-0.002%,0.018%,0.001%,-0.017%,-0.030%,(,)
6,South America,0.003%,0.006%,-0.038%,0.004%,0.003%,0.007%,0.005%,-0.037%,-0.039%,-,0.004%,0.003%,0.007%,0.005%,-0.037%,-0.039%,(,)
7,Africa,-0.376%,-1.065%,-1.601%,-0.366%,-0.386%,-1.040%,-1.089%,-1.564%,-1.637%,-,-0.366%,-0.386%,-1.040%,-1.089%,-1.564%,-1.637%,(,)
8,Asia,-0.013%,-0.026%,-0.043%,-0.012%,-0.013%,-0.024%,-0.027%,-0.041%,-0.046%,-,-0.012%,-0.013%,-0.024%,-0.027%,-0.041%,-0.046%,(,)
9,Europe,-0.605%,-1.300%,-1.850%,-0.563%,-0.647%,-1.211%,-1.390%,-1.716%,-1.983%,-,-0.563%,-0.647%,-1.211%,-1.390%,-1.716%,-1.983%,(,)
10,North America,0.000%,0.000%,-0.001%,0.000%,0.000%,0.000%,-0.001%,0.000%,-0.001%,-,0.000%,0.000%,0.000%,-0.001%,0.000%,-0.001%,(,)
11,Oceania,-0.040%,-0.070%,-0.134%,-0.027%,-0.053%,-0.046%,-0.093%,-0.084%,-0.183%,-,-0.027%,-0.053%,-0.046%,-0.093%,-0.084%,-0.183%,(,)
12,South America,-0.086%,-0.158%,-0.299%,-0.083%,-0.088%,-0.153%,-0.163%,-0.290%,-0.308%,-,-0.083%,-0.088%,-0.153%,-0.163%,-0.290%,-0.308%,(,)
13,Africa,-2.888%,-6.696%,-8.769%,-2.824%,-2.952%,-6.534%,-6.858%,-8.549%,-8.989%,-,-2.824%,-2.952%,-6.534%,-6.858%,-8.549%,-8.989%,(,)
14,Asia,-0.070%,-0.147%,-0.205%,-0.066%,-0.074%,-0.138%,-0.156%,-0.191%,-0.219%,-,-0.066%,-0.074%,-0.138%,-0.156%,-0.191%,-0.219%,(,)
15,Europe,-2.809%,-7.284%,-10.894%,-2.599%,-3.020%,-6.761%,-7.807%,-10.101%,-11.686%,-,-2.599%,-3.020%,-6.761%,-7.807%,-10.101%,-11.686%,(,)
16,North America,-0.001%,-0.003%,-0.005%,-0.001%,-0.002%,-0.001%,-0.004%,-0.003%,-0.008%,-,-0.001%,-0.002%,-0.001%,-0.004%,-0.003%,-0.008%,(,)
17,Oceania,-0.188%,-0.378%,-0.548%,-0.119%,-0.257%,-0.220%,-0.537%,-0.311%,-0.784%,-,-0.119%,-0.257%,-0.220%,-0.537%,-0.311%,-0.784%,(,)
18,South America,-0.366%,-1.020%,-1.697%,-0.355%,-0.377%,-0.989%,-1.052%,-1.645%,-1.748%,-,-0.355%,-0.377%,-0.989%,-1.052%,-1.645%,-1.748%,(,)
